scene,id,title,artist,videoId,focus,length,license
C1_lounge,c1_lounge-vteyvt8imae,Airport Lounge - Disco Ultralounge,Kevin MacLeod,VtEYvt8IMaE,5,308,CC BY 4.0
C1_lounge,c1_lounge-yf_haxd7stk,"BLEND - Guitor,Sax, Relax,Jazz",MusMus,yF_HAXd7Stk,5,158,Free with attribution (musmus.main.jp)
C1_lounge,c1_lounge-oyeie3re7dk,Backbay Lounge,Kevin MacLeod,OYeiE3Re7dk,5,267,CC BY 4.0
C1_lounge,c1_lounge-0b__ab9rteo,Chill - Disco Ultralounge,Kevin MacLeod,0b__Ab9Rteo,5,231,CC BY 4.0
C1_lounge,c1_lounge-aqqejbbbdt4,Disco Ultralounge,Kevin MacLeod,aQQeJBbBdt4,5,229,CC BY 4.0
C1_lounge,c1_lounge-qhtl-6cf5xk,Late Night Radio,Kevin MacLeod,QhtL-6Cf5Xk,5,265,CC BY 4.0
C1_lounge,c1_lounge-krwdtoaswdm,Midnight Mist,Eric Matyas (Soundimage.org),kRWdtoasWdM,5,124,Free with attribution
C1_lounge,c1_lounge-liwl0zwq2oc,Moon Lounge Omicron Prime,Kevin MacLeod,liWL0ZwQ2Oc,5,225,CC BY 4.0
C1_lounge,c1_lounge-i73dqey-aea,Mystery Sax,Kevin MacLeod,I73DQEy-aEA,5,285,CC BY 4.0
C1_lounge,c1_lounge-5y2icwvl06m,Night on the Docks - Piano,Kevin MacLeod,5y2iCWVL06M,5,177,CC BY 4.0
